employee_id,first_name,last_name,email,phone_number,department,position,hire_date,base_salary,bonus,currency,annual_leave_balance,sick_leave_balance,performance_rating,review_period,last_review_date,password_hash,last_login
1,Mark,King,phillip95@campbell.net,001-992-939-3642x70190,HR,Manager,09/11/2014,89329.73,3302.58,EUR,18,11,1.01,Q2 2024,04/04/2024,a66b2391255effd34f5f8deaf1481d77c76343d964f369c772184a688eb0bc7b,12/04/2024 17:19
2,William,Williamson,seanmartin@moore-brown.com,(912)356-9680,IT,Coordinator,11/12/2014,112639.3,9511.09,EGP,18,0,3.62,Q2 2024,02/01/2024,c25ec1af16169814faacc070980cad7cb93881e9de42dd549d4e0b7e3e30862c,07/02/2024 7:15
3,Christopher,Jennings,aberry@hotmail.com,+1-135-648-6029x12903,Marketing,Executive,30/09/2018,114706.1,6521.31,EGP,0,3,4.5,Q2 2024,21/05/2024,4df487438f6a31cf2b531bb5259aaf89fce6dccd3d663c8fa4333df7deae76fe,22/03/2024 1:18
4,Lori,Harrison,smithkaitlyn@gmail.com,001-161-230-3853,IT,Manager,11/03/2015,40731.09,3167.83,USD,0,2,1.78,Q4 2023,03/08/2024,f647f81f97aa17ab5739028229fcb208859ca0d763ebc495e075e81817b3c4cb,27/01/2024 1:49
5,James,Johnson,xperry@gmail.com,620-638-0771x882,IT,Coordinator,16/12/2021,55650.27,9234.58,USD,9,4,2.61,Q1 2024,26/05/2024,e7d1e07b8a91e3111a5e0678d136393827b05d29b115dce78803ba1d0e04064b,26/08/2024 17:55
6,Craig,Kline,nicolejohnson@duran.com,208.659.7457x4552,Finance,Analyst,23/07/2018,73371.98,3829.38,USD,26,1,4.33,Q3 2024,12/07/2024,a98800075dfe2d00da5993a267784886547ef9cd09e54febcf3ddc7ca943af53,03/01/2024 19:14
7,Craig,Fleming,christian18@yahoo.com,+1-928-335-9618x85355,Sales,Executive,02/05/2017,57210.46,2703.17,USD,24,10,2.86,Q1 2024,11/01/2024,51b9769cebecfa8b2637e14550ea2ca65dcc425fbc62b32dd896819a53476bb8,28/06/2024 9:53
8,Christopher,Andrade,wardkathleen@yahoo.com,509-331-3551,Marketing,Coordinator,08/07/2015,75117.76,7230.2,EGP,22,0,3.03,Q2 2024,13/08/2024,b401639fe547e192b70905b2ff79dee2b5c9b690e4b36afa97d76e25a00ac4c3,02/07/2024 10:02
9,Timothy,Simmons,kwoods@yahoo.com,145.689.7354,Marketing,Analyst,30/11/2020,34061.35,1166.52,USD,11,2,4.02,Q1 2024,18/03/2024,9a03fe7e07b09a78031a45b178d6ccb2b32a459a4c8ac1ff2caa0d953d3224be,26/06/2024 22:36
10,Danielle,Larson,jessica71@yahoo.com,+1-268-767-1697x0778,Marketing,Coordinator,02/03/2022,60636.92,6693.78,USD,6,6,3.73,Q1 2024,17/01/2024,4a373eb750320a3d826dc58bc2fdc3576d14b25b8613289d6a6c7cc31451614d,23/03/2024 6:07
